SampleID,Muribaculaceae,Akkermansia_dash_muciniphila,Bacteroides_dash_acidifaciens,Faecalibaculum,Parasutterella,Bacteroides_dash_uniformis,Bacteroides,Alloprevotella,Clostridia_dash_UCG_dash_014,Lachnospiraceae_dash_NK4A136_dash_group,Lachnospiraceae,Escherichia_dash_Shigella,Parabacteroides_dash_goldsteinii,Desulfovibrionaceae,Mucispirillum_dash_schaedleri,Oscillospiraceae,Helicobacter_dash_ganmani,Muribaculum,Colidextribacter,Roseburia,Clostridia_dash_vadinBB60_dash_group,Bacteroides_dash_vulgatus_dash_ATCC_dash_8482,Lachnoclostridium,Lachnospiraceae_dash_bacterium_dash_28_dash_4,Oscillibacter,Alistipes,Dubosiella_dash_newyorkensis,Rikenellaceae_dash_RC9_dash_gut_dash_group,Lactobacillus,Parabacteroides,Bilophila,Bacteroides_dash_caecimuris,Ruminococcaceae,mouse_dash_gut_dash_metagenome,Anaerotruncus,Desulfovibrio,Peptococcaceae,Ruminococcus_dash_sp_dot__dash_N15_dot_MGS_dash_57,Bifidobacterium_dash_choerinum,Helicobacter_dash_mastomyrinus
sample32,295.5420268174155,28.546673044864,60.45177821265318,10703.32317576254,10750.34122548349,0.0,27008.51113256427,45.33883365948989,1010.888069000478,7323.061244038347,5974.650746683889,591.0840536348311,28214.18826469441,13.43372849170071,261.9577055881638,5816.804436906406,0.0,0.0,982.3413959556141,177.9969025150343,9702.510403130835,4908.348547655145,302.2588910632659,15971.02396057068,2040.247514677045,0.0,0.0,0.0,68.84785851996612,10.07529636877553,0.0,0.0,1586.859178082146,0.0,1257.732830035479,0.0,5326.473346959331,6.716864245850353,0.0,15.1129445531633
sample34,135570.434749285,71091.81334413726,57865.42946615824,23442112.12573307,6823160.78305243,0.0,54492701.57727358,16532.97984747378,99197.87908484269,5758436.880875118,8165638.746667302,46292.34357292659,41970622.64079694,1653.297984747378,1395383.499126787,2774234.018406101,6613.191938989514,0.0,1195334.442972354,234768.3138341277,3313209.161433746,3723227.061651096,429857.4760343183,30169381.62567015,1069683.796131554,0.0,0.0,0.0,11573.08589323165,19839.57581696854,0.0,0.0,2212112.703591992,221541.9299561487,788623.1387244994,0.0,8279716.307614869,0.0,0.0,0.0
sample35,29877.11143250547,12548.3868016523,0.0,3259592.857286347,3731651.217919934,9560.675658401753,17867110.17886693,10158.21788705186,98594.46772726806,956665.1080688252,3515938.473377245,26889.40028925493,13426176.33553931,4780.337829200877,1605595.968382844,3070769.513032912,4780.337829200877,0.0,501337.9298374419,180457.7530523331,5753136.577443253,3719700.373346931,108155.1433856698,5578056.704448773,650723.4869999692,0.0,0.0,0.0,13145.92903030241,61546.84955096128,0.0,0.0,916032.2365206179,0.0,1524330.225286429,0.0,2302330.206988872,4182.795600550766,0.0,0.0
sample46,101785.5137069731,36897.24871877775,7633.913528022983,16133003.92255524,8145385.734400523,34352.61087610342,46681381.22386055,29263.33519075477,225200.449076678,18531325.08927579,4375504.770478506,50892.75685348656,39588203.23740585,31807.97303342909,7135164.510858815,2856355.978401933,12723.18921337164,0.0,258280.7410314442,830824.2556331679,178124.6489872029,2535731.610224967,159039.8651671455,2648967.994223975,306628.8600422565,0.0,0.0,10178.55137069731,0.0,151405.9516391225,0.0,0.0,348615.3844463829,395691.1845358579,321896.6870983025,0.0,1657831.554502324,20357.10274139462,0.0,0.0
sample47,27471.42977637969,0.0,15697.95987221696,8682934.05432001,11594415.04937025,0.0,14191446.28573014,5886.734952081361,22565.81731631188,3993659.103741197,2912462.117542253,28452.55226839325,9603717.513074733,5396.173706074581,1314213.578052164,331128.8410545766,4415.051214061021,0.0,41207.14466456953,135394.9038978713,24037.50105433222,2879103.952813792,1191573.266550469,973273.5120774517,103998.9841534374,0.0,0.0,2943.367476040681,0.0,23546.93980832545,0.0,0.0,236450.520575268,264903.0728436612,109885.7191055187,0.0,258525.7766455731,7358.4186901017,0.0,0.0
sample49,72561.51836955694,5149.52711009759,11703.47070476725,13833970.51186308,12608851.19848804,5617.66593828828,15909698.0760606,7958.36007924173,17789.27547124622,9616975.947521338,1331386.827374323,18725.5531276276,11133745.75085918,0.0,826733.1705847585,315057.4313723344,0.0,0.0,77242.90665146385,83796.85024613349,127801.9000960584,1007902.897094555,564107.2879697816,620283.9473526642,54772.24289831072,0.0,0.0,0.0,2340.69414095345,22002.52492496243,0.0,0.0,124993.0671269142,277606.3251170791,41196.21688078072,0.0,190532.5030736108,4213.249453716209,0.0,0.0
sample50,42967.12766162238,5035.210272846373,3021.126163707824,12260065.6530112,13784055.96225937,0.0,13068720.42283034,4028.168218277099,46995.29587989948,1162126.530972943,1543124.108284984,27861.49684308326,8933805.74676889,2349.764793994974,172875.5527010588,106410.7770994867,0.0,0.0,26518.77410365756,39610.32081305813,33232.38780078605,1538760.259381852,15441.31150339554,427321.5118222288,29875.58095222182,0.0,0.0,2685.445478851399,4363.848903133523,55722.99368616653,0.0,0.0,39946.00149791456,40617.36286762741,62436.60738329503,0.0,361192.4169055131,9399.059175979895,0.0,0.0
sample61,54155.5603371227,13172.97413605687,0.0,9162535.343524002,6974357.973145667,17563.9655147425,24174603.03535371,13904.80603250448,2428950.064309597,24960590.49213843,2061570.452292901,38055.25861527541,11599535.55869452,0.0,38787.09051172301,626448.1033591491,5854.655171580832,0.0,130997.9094641211,1647353.598903557,145634.5473930732,292000.926682594,9513.814653818852,195399.1163515103,168321.3361829489,2927.327585790416,0.0,0.0,32932.43534014218,35127.93102948499,0.0,0.0,322006.0344369458,0.0,197594.6120408531,0.0,279559.7844429847,2927.327585790416,0.0,0.0
sample62,76505.22615488071,4722.544824375352,0.0,10367874.90743365,11281215.07646784,0.0,33040812.60925971,5667.053789250423,80283.26201438098,7982045.262159219,10743789.47545393,40613.88548962802,10421711.91843153,10389.59861362577,17001.16136775127,887838.4269825661,7556.071719000563,0.0,316410.5032331486,376859.0769851531,489255.6438052865,6400937.254958352,322077.557022399,1267531.030862344,448641.7583156584,0.0,0.0,0.0,0.0,44391.92134912831,0.0,0.0,555371.2713465415,0.0,282408.180497646,0.0,301298.3597951475,7556.071719000563,0.0,0.0
sample64,64011.39910245966,11164.77891321971,4465.911565287883,16524617.11015938,15628457.52272495,14886.37188429294,23467620.95699361,9676.141724790414,59545.48753717178,4357985.369126759,2177131.888077844,25306.832203298,9516857.54562848,0.0,66244.3548851036,253812.6406271947,0.0,0.0,49869.34581238136,31261.38095701518,1633034.995706936,497204.8209353843,67732.99207353289,101971.6474074067,40937.5226818056,0.0,1488.637188429294,0.0,17119.32766693689,0.0,0.0,0.0,100483.0102189774,124301.2052338461,14142.0532900783,2232.955782643941,404164.9966585535,0.0,0.0,0.0
sample65,59089.64294678632,0.0,7303.214296793816,15967482.16708102,18123258.24178007,0.0,22137370.39072693,7967.142869229617,1373004.287797237,1788623.574142049,1634592.145336944,23901.42860768885,9577833.585958872,0.0,7303.214296793816,240342.1432217601,3319.642862179007,0.0,179924.6431301022,61745.35723652953,1050335.001593438,3821572.862940473,23901.42860768885,441512.500669808,99589.28586537023,0.0,0.0,5975.357151922212,10622.85715897282,49130.71436024931,0.0,0.0,131457.8573422887,0.0,55770.00008460732,0.0,381095.00057815,0.0,0.0,0.0
sample76,94139.00992955762,42690.94636340404,24082.07230756125,318540.1382500147,7229000.250869749,0.0,33370089.74072749,15324.9551048117,6507632.721293257,25315731.19349859,9193878.42323668,54731.98251718465,12356292.37307961,6567.837902062159,13135.67580412432,593294.6904862818,0.0,0.0,565928.6992276893,1286201.589153839,510102.077060161,367798.9225154809,0.0,200319.0560128958,581253.654332501,0.0,0.0,4378.558601374772,0.0,49258.78426546619,0.0,0.0,311972.3003479525,0.0,413773.7878299161,0.0,1648527.313417602,0.0,0.0,0.0
sample77,69782.27086988279,14483.11282205115,15141.43613214438,2056602.020731262,11348177.21938716,22382.99254316995,23791146.10345938,15141.43613214438,2810382.210788016,7078950.553432543,1341662.905970011,407502.1289477118,12171081.35700371,5266.586480745871,5266.586480745871,2593135.518457248,8558.20303121204,0.0,138906.2184296724,167872.4440737746,1009209.634372927,4578638.621698442,39499.39860559403,106648.3762351039,308095.3091236334,0.0,0.0,4608.263170652637,5266.586480745871,51349.21818727224,0.0,0.0,210663.4592298349,15799.75944223761,120473.1657470618,0.0,193547.0531674107,0.0,26991.25571382259,0.0
sample79,66315.53807369895,14028.28690020555,17216.53392297954,2941476.703211281,12867764.98391582,0.0,24853660.84133235,9564.741068321966,6324206.794374484,18394910.02259681,1827503.193454051,27418.9243958563,9451877.123715768,0.0,43360.15950972624,397255.5790376389,7651.792854657572,0.0,149847.6100703774,64402.58986003456,481425.3004388722,432326.2962881527,20404.78094575352,54200.1993871578,332852.9891776044,0.0,0.0,3188.247022773989,0.0,31244.82082318508,0.0,0.0,161962.9487569186,188106.5743436653,48461.35474616462,0.0,563682.0736264411,0.0,15303.58570931514,0.0
sample80,99894.90452884595,0.0,29302.50532846148,2012549.34324115,16269550.11759804,0.0,38984319.47539722,18647.04884538458,4721699.154063451,18172881.03188765,1987242.634093842,47949.55417384605,14944277.71751535,0.0,47949.55417384605,3176657.964017301,22642.84502653842,0.0,582054.3103880758,67928.53507961525,1029583.482677306,7203088.582559985,13319.32060384612,259726.7517749995,586050.1065692295,0.0,0.0,11987.38854346151,0.0,94567.17628730749,0.0,0.0,480827.4737988452,0.0,59936.94271730757,0.0,165159.575487692,0.0,0.0,0.0
sample81,84903.56530943605,8086.053838993907,28301.18843647868,9975495.086038817,20027807.68354808,0.0,30767434.85737181,0.0,4185880.53731918,8153437.620985523,8118398.054349883,32344.21535597563,9560410.988970462,6738.37819916159,12129.08075849086,447428.3124243296,0.0,0.0,309965.3971614331,29648.86407631099,495944.635458293,1070054.45802686,16172.10767798781,153635.0229408843,132072.2127035672,0.0,0.0,0.0,10781.40511865854,0.0,0.0,0.0,123986.1588645733,0.0,70079.13327128053,0.0,172502.4818985367,0.0,61993.07943228662,0.0
sample82,107403.9514081544,10564.32308932666,37855.49107008721,15555085.38877607,16905558.023695,0.0,32254639.11222919,10564.32308932666,1824106.453423737,6963649.63638116,2812751.022533224,50180.53467430166,15513708.45667621,3521.441029775554,14085.76411910222,1280924.174580858,5282.161544663332,0.0,597764.6148044005,15846.48463399,596003.8942895127,6332431.331793891,52821.61544663332,96839.62831882774,1066116.271764549,0.0,0.0,7042.882059551109,0.0,136455.8399038028,0.0,0.0,815213.5983930408,164627.3681420072,60744.85776362832,7923.242316994999,131173.6783591394,15846.48463399,0.0,0.0
sample84,59680.01046830245,23666.21104777511,47332.42209555022,11128264.02094295,20345738.74120249,0.0,36595165.03974442,4115.86279091741,5766323.770075291,13724344.4763141,1311931.264604924,42187.59360690345,13653345.84317078,0.0,13376.55407048158,579307.6878216255,14405.51976821094,0.0,239749.0075709392,7202.759884105468,597829.0703807538,879765.6715585964,0.0,84375.1872138069,438339.3872327042,0.0,0.0,10289.65697729353,0.0,73056.56453878403,0.0,0.0,83346.22151607757,80259.32442288949,47332.42209555022,0.0,170808.3058230726,0.0,0.0,0.0
sample85,158747.3596075979,37796.9903827614,29157.67829527308,11100436.11841155,22361779.42445258,0.0,35657680.7270971,4319.656043744159,4981643.332447952,15196549.96189195,2073434.900997197,48596.1304921218,12322898.77879115,10799.1401093604,36717.07637182536,2464363.772956043,0.0,0.0,551836.0595883164,26997.850273401,748380.4095786758,7909290.216095556,2159.82802187208,143628.5634544933,538877.0914570839,10799.1401093604,0.0,0.0,4319.656043744159,55075.61455773804,0.0,0.0,355291.7095979571,0.0,37796.9903827614,0.0,64794.84065616239,0.0,0.0,0.0
sample96,159734880.6348141,76052041.66329297,0.0,22683605.76708915,51516300.62721644,0.0,43824887.98291246,23572.6306962031,1006888.082594961,3933261.807595032,7068421.690190044,47145.2613924062,5950405.49145584,0.0,23572.6306962031,191948.564240511,0.0,0.0,336751.8670886158,0.0,138068.2655063324,2872493.426265893,0.0,158273.3775316494,121230.6721519017,37042.70537974773,0.0,37042.70537974773,0.0,3367.518670886157,0.0,0.0,191948.564240511,0.0,70717.89208860931,0.0,235726.306962031,0.0,333384.3484177296,0.0
sample97,59485855.02750023,51345044.26030743,50508.67994243708,21093316.07360776,25004767.67032649,0.0,32591468.50756256,19312.14233093182,90618.5140143724,6289816.202243489,7222741.231768501,51994.22935250875,5527729.354876717,0.0,525884.4911653743,414468.2854099984,0.0,0.0,1215179.417438633,11884.39528057343,84676.31637408568,6745879.871135493,75763.01991365562,148554.9410071679,967092.6659566627,35653.18584172029,0.0,11884.39528057343,8913.296460430072,32682.08702157693,0.0,0.0,589763.1157984565,0.0,22283.24115107518,0.0,343161.9137265577,0.0,310479.8267049809,0.0
sample99,148731596.3513757,22569832.61189889,0.0,12725140.72115038,24332212.48839477,0.0,36086149.24534716,9475.160626321953,41591217.56924021,625360.6013372489,8598708.268387172,99489.1865763805,3373157.182970616,0.0,23687.90156580488,852764.4563689758,0.0,0.0,142127.4093948293,0.0,194240.7928396001,994891.8657638051,265304.4975370147,156340.1503343122,265304.4975370147,47375.80313160977,0.0,0.0,0.0,0.0,0.0,0.0,663261.2438425368,341105.7825475903,322155.4612949464,0.0,1719741.653677434,14212.74093948293,307942.7203554634,0.0
sample100,46813257.44069744,38651527.71817064,22978.65133915692,16518777.98143643,16543192.79848429,11489.32566957846,13669425.21538097,10053.15996088115,440902.8725700734,5603918.595336894,5012218.323353603,43084.97126091923,2954192.862790362,0.0,0.0,330318.1130003807,0.0,0.0,453828.3639483491,0.0,47393.46838701115,5499078.498601991,145052.7365784281,94786.9367740223,202499.3649263203,18670.154213065,0.0,11489.32566957846,0.0,4308.497126091923,0.0,0.0,265690.656109002,0.0,44521.13696961653,4308.497126091923,244148.1704785423,8616.994252183846,262818.3246916073,0.0
sample111,72581199.10962965,49743186.04989336,0.0,14382198.75019144,22254560.17134887,0.0,16886113.18665292,0.0,995101.8650339438,24130794.96986586,7013341.862452907,64639.09550647841,978091.5767427653,23814.40360764994,20412.34594941423,166700.8252535496,13608.23063294282,0.0,175205.9693991388,0.0,88453.49911412834,7654629.731030338,141185.3928167818,146288.4793041353,64639.09550647841,25515.43243676779,0.0,13608.23063294282,79948.35496853909,8505.144145589264,0.0,0.0,69742.18199383197,0.0,40824.69189882847,267061.5261715029,93556.5856014819,0.0,275566.6703170922,0.0
sample112,121143842.0258894,38597494.02002031,36011.84364622159,12946257.79081666,23317668.76092848,0.0,34495745.02871567,21607.10618773296,2351573.39009827,19208717.4008946,8135075.479681458,126041.4527617756,583391.8670687899,0.0,262886.4586174177,604998.9732565227,0.0,0.0,1941038.372531344,0.0,226874.614971196,12996674.37192137,187261.5869603523,259285.2742527955,842677.1413215853,0.0,0.0,0.0,46815.39674008807,0.0,0.0,0.0,572588.3139749233,0.0,86428.42475093182,396130.2801084375,586993.051433412,0.0,334910.1459098608,0.0
sample114,154349679.5589636,26699009.71674923,36300.48907783716,8986963.938841686,21176149.59276401,0.0,16120010.04263669,20743.13661590695,25226247.01701984,640444.3430161271,20400874.86174448,147794.848388337,492649.49462779,31114.70492386042,28521.81284687205,1462391.13142144,20743.13661590695,0.0,570436.2569374411,0.0,173723.7691582207,4428659.667496134,298182.5888536624,775274.7310195221,430420.0847800692,57043.62569374411,0.0,12964.46038494184,28521.81284687205,0.0,0.0,0.0,469313.4659348947,0.0,347447.5383164414,228174.5027749764,2248037.430748916,0.0,173723.7691582207,0.0
sample115,56329909.77604652,29561020.55851091,9745.659130803897,7499284.701153597,17376510.23022335,17054.90347890682,13352771.21659269,8527.451739453409,1399720.292661709,13684123.62704002,4253980.210595901,62128.57695887483,233895.8191392935,7309.244348102921,41419.05130591655,81619.89522048263,6091.036956752435,0.0,154712.3387015118,0.0,56037.5400021224,4546349.984520018,119384.3243523477,96238.38391668846,56037.5400021224,21927.73304430877,0.0,0.0,37764.42913186509,3654.622174051461,0.0,0.0,45073.67347996801,0.0,0.0,581084.9256741822,63346.78435022532,0.0,185167.523485274,0.0
sample126,23832827.52703573,14529923.65541662,22337.69138375005,8323768.399298063,4504767.762389595,0.0,11126404.0782459,0.0,1329092.637333128,7917967.005826601,5678985.739462057,27549.81937329174,946373.5249582106,14147.2045430417,29783.58851166674,78926.50955591685,11913.4354046667,0.0,54355.0490337918,0.0,33506.53707562508,3167484.638215757,160831.3779630004,70736.02271520851,16380.97368141671,11913.4354046667,0.0,4467.53827675001,51376.69018262513,0.0,0.0,0.0,61056.35644891682,218909.3755607505,37229.48563958342,7842763.444834644,52121.2798954168,0.0,147428.7631327503,0.0
sample127,47718999.11765197,32457242.07118018,698258.0055152304,16975663.06000916,5965756.528602347,23510.37055606837,16932168.87448044,48196.25963994014,28342927.22386822,1512892.345282999,1169640.935164401,56424.88933456408,758209.4504332048,22334.85202826495,29387.96319508545,164572.5938924786,23510.37055606837,61126.96344577775,224524.0388104529,17632.77791705127,70531.11166820509,6761582.571925261,129307.038058376,49371.77816774356,250385.4464221281,12930.7038058376,10579.66675023076,32914.51877849571,98743.55633548714,41143.14847311964,11755.18527803418,116376.3342525384,41143.14847311964,39967.62994531622,27036.92613947862,244507.853783111,49371.77816774357,5877.592639017092,205715.7423655982,0.0
sample129,53654488.35975061,11027099.49310092,362109.6002425633,16449163.87768533,5150961.165355192,19159.23810807214,7450069.73832385,28738.8571621082,15296735.7054848,419587.3145667798,11137265.11222233,13411.46667565049,582440.8384853929,68973.25718905969,82384.72386471018,639918.5528096092,24907.00954049377,47898.09527018033,248112.1334995341,58435.67622962001,24907.00954049377,3621096.002425633,724219.2004851268,111123.5810268184,414797.5050397617,25864.97144589738,0.0,43108.28574316231,253859.9049319558,52687.90479719837,50771.98098639116,79510.83814849936,211709.5810941971,42150.3238377587,639918.5528096093,3213962.1926291,311337.6192561722,0.0,307505.7716345578,0.0
sample130,20720122.07527268,19870077.52222329,244897.057555968,13106798.97009352,4349097.091288322,10986.03622680978,6904266.017040499,21972.07245361956,10336486.83489965,1166350.846079638,538315.7751136792,10986.03622680978,201410.6641581793,23803.07849142119,6866.272641756113,47148.40547339198,8697.278679557743,21514.32094416915,37993.37528438382,6866.272641756113,2746.509056702445,2090093.392150561,52183.67207734645,22887.57547252038,35246.86622768138,4577.515094504075,1831.00603780163,8697.278679557743,94296.81094678395,14648.04830241304,11901.5392457106,51268.16905844564,16021.30283076426,6408.521132305706,10528.28471735937,434406.1824684368,12359.290755161,6408.521132305706,285636.9418970543,0.0
